student_id,assessment_id,assessment_name,n_questions_entered,n_questions_attempted,n_assessment_questions,absent,mark,available_marks,created,last_updated
b61c4,94245,Year 7 Term 3 Assessment,36,36,36,False,34.0,60,2024-06-27 14:18:23.948111+00:00,2024-06-27 14:22:34.230140+00:00
d47b3,94245,Year 7 Term 3 Assessment,36,36,36,False,37.0,60,2024-07-08 13:52:46.036772+00:00,2024-07-08 14:24:42.552651+00:00
01093,94245,Year 7 Term 3 Assessment,36,36,36,False,42.0,60,2024-07-03 08:08:21.592102+00:00,2024-07-03 08:22:59.515326+00:00
2a270,94245,Year 7 Term 3 Assessment,36,36,36,False,27.0,60,2024-07-04 07:52:38.344720+00:00,2024-07-04 08:21:34.395024+00:00
24de5,94245,Year 7 Term 3 Assessment,36,36,36,False,37.0,60,2024-07-13 18:57:19.360425+00:00,2024-07-13 19:30:58.809699+00:00
d72d8,94245,Year 7 Term 3 Assessment,36,36,36,False,38.0,60,2024-07-16 19:24:46.502512+00:00,2024-07-16 19:28:36.763568+00:00
caec1,94245,Year 7 Term 3 Assessment,36,36,36,False,16.0,60,2024-07-02 18:38:18.825281+00:00,2024-07-02 18:43:17.816710+00:00
ac3a3,94245,Year 7 Term 3 Assessment,36,36,36,False,23.0,60,2024-07-15 09:09:11.312540+00:00,2024-07-15 10:04:57.603679+00:00
a52c9,94245,Year 7 Term 3 Assessment,36,36,36,False,57.0,60,2024-06-17 08:21:45.218489+00:00,2024-06-17 08:32:55.934846+00:00
78564,94245,Year 7 Term 3 Assessment,36,35,36,False,50.0,60,2024-07-11 14:41:38.496331+00:00,2024-07-11 15:00:33.541280+00:00
33f66,94245,Year 7 Term 3 Assessment,36,36,36,False,32.0,60,2024-07-07 18:02:05.076385+00:00,2024-07-07 18:11:45.605809+00:00
6af7b,94245,Year 7 Term 3 Assessment,36,36,36,False,54.0,60,2024-07-15 11:10:24.425660+00:00,2024-07-15 11:14:20.796353+00:00
a0c23,94245,Year 7 Term 3 Assessment,36,36,36,False,16.0,60,2024-07-19 07:01:36.922268+00:00,2024-07-19 07:04:20.436131+00:00
5b0ba,94245,Year 7 Term 3 Assessment,36,8,36,False,7.0,60,2024-07-15 12:17:03.567273+00:00,2024-07-15 12:18:01.257275+00:00
174dd,94245,Year 7 Term 3 Assessment,36,36,36,False,17.0,60,2024-06-27 11:34:21.969358+00:00,2024-06-27 11:38:11.817538+00:00
31985,94245,Year 7 Term 3 Assessment,36,36,36,False,34.0,60,2024-07-13 18:57:19.360425+00:00,2024-07-13 19:20:05.946309+00:00
20022,94245,Year 7 Term 3 Assessment,36,36,36,False,35.0,60,2024-07-03 08:08:21.592102+00:00,2024-07-03 08:16:34.761686+00:00
fe0bd,94245,Year 7 Term 3 Assessment,36,35,36,False,22.0,60,2024-07-16 19:24:46.502512+00:00,2024-07-16 19:54:51.548914+00:00
9a7a3,94245,Year 7 Term 3 Assessment,36,36,36,False,26.0,60,2024-07-12 14:01:53.988892+00:00,2024-07-12 14:14:25.460050+00:00
17f44,94245,Year 7 Term 3 Assessment,36,36,36,False,44.0,60,2024-07-12 08:09:47.374864+00:00,2024-07-12 08:21:27.068264+00:00
57669,94245,Year 7 Term 3 Assessment,36,34,36,False,43.0,60,2024-06-27 15:05:01.293669+00:00,2024-06-27 15:12:35.245011+00:00
96e5e,94245,Year 7 Term 3 Assessment,36,36,36,False,7.0,60,2024-07-02 15:27:06.151974+00:00,2024-07-02 15:29:00.936607+00:00
